stasiun,pm10,so2,co,o3,no2,max,critical,categori
0.0,60.0,3.0,13.0,73.0,7.0,73.0,1.0,2.0
0.0,46.0,4.0,13.0,35.0,10.0,46.0,2.0,1.0
0.0,74.0,14.0,6.0,47.0,11.0,74.0,2.0,2.0
0.0,45.0,5.0,5.0,43.0,7.0,45.0,2.0,1.0
0.0,43.0,4.0,3.0,27.0,8.0,43.0,2.0,1.0
0.0,46.0,3.0,7.0,45.0,8.0,46.0,2.0,1.0
0.0,57.0,3.0,5.0,45.0,8.0,57.0,2.0,2.0
0.0,36.0,1.0,4.0,71.0,8.0,71.0,1.0,2.0
0.0,49.0,2.0,7.0,45.0,13.0,49.0,2.0,1.0
0.0,53.0,4.0,6.0,52.0,11.0,53.0,2.0,2.0
0.0,61.0,5.0,6.0,33.0,14.0,61.0,2.0,2.0
1.0,43.0,12.0,14.0,90.0,5.0,90.0,1.0,2.0
1.0,34.0,9.0,5.0,57.0,2.0,57.0,1.0,2.0
1.0,32.0,10.0,7.0,62.0,2.0,62.0,1.0,2.0
1.0,48.0,13.0,11.0,83.0,3.0,83.0,1.0,2.0
1.0,56.0,12.0,9.0,82.0,2.0,82.0,1.0,2.0
1.0,48.0,9.0,11.0,55.0,3.0,55.0,1.0,2.0
1.0,35.0,9.0,14.0,47.0,3.0,47.0,1.0,1.0
1.0,28.0,9.0,5.0,55.0,2.0,55.0,1.0,2.0
1.0,56.0,4.0,10.0,44.0,10.0,56.0,2.0,2.0
1.0,53.0,4.0,11.0,86.0,12.0,86.0,1.0,2.0
1.0,64.0,4.0,19.0,95.0,8.0,95.0,1.0,2.0
1.0,42.0,19.0,6.0,63.0,8.0,63.0,1.0,2.0
1.0,47.0,1.0,8.0,68.0,10.0,68.0,1.0,2.0
1.0,48.0,3.0,10.0,52.0,7.0,52.0,1.0,2.0
1.0,52.0,7.0,12.0,52.0,13.0,52.0,2.0,2.0
1.0,54.0,8.0,14.0,68.0,11.0,68.0,1.0,2.0
1.0,45.0,9.0,11.0,91.0,9.0,91.0,1.0,2.0
1.0,66.0,6.0,15.0,97.0,7.0,97.0,1.0,2.0
1.0,64.0,3.0,9.0,76.0,7.0,76.0,1.0,2.0
1.0,58.0,7.0,11.0,57.0,7.0,58.0,2.0,2.0
1.0,77.0,8.0,17.0,53.0,9.0,77.0,2.0,2.0
1.0,53.0,21.0,7.0,51.0,7.0,53.0,2.0,2.0
1.0,56.0,16.0,7.0,47.0,7.0,56.0,2.0,2.0
1.0,58.0,26.0,17.0,51.0,9.0,58.0,2.0,2.0
1.0,62.0,25.0,12.0,55.0,4.0,62.0,2.0,2.0
1.0,43.0,18.0,9.0,84.0,4.0,84.0,1.0,2.0
1.0,53.0,16.0,13.0,72.0,7.0,72.0,1.0,2.0
1.0,61.0,25.0,14.0,64.0,8.0,64.0,1.0,2.0
1.0,64.0,21.0,23.0,49.0,9.0,64.0,2.0,2.0
2.0,51.0,18.0,35.0,62.0,7.0,62.0,1.0,2.0
2.0,55.0,19.0,22.0,44.0,6.0,55.0,2.0,2.0
2.0,54.0,17.0,22.0,35.0,3.0,54.0,2.0,2.0
2.0,59.0,19.0,25.0,65.0,7.0,65.0,1.0,2.0
2.0,51.0,19.0,19.0,81.0,3.0,81.0,1.0,2.0
2.0,52.0,17.0,29.0,33.0,6.0,52.0,2.0,2.0
2.0,40.0,17.0,23.0,24.0,4.0,40.0,2.0,1.0
2.0,26.0,18.0,13.0,40.0,3.0,40.0,1.0,1.0
2.0,50.0,17.0,19.0,53.0,6.0,53.0,1.0,2.0
2.0,53.0,17.0,26.0,72.0,8.0,72.0,1.0,2.0
2.0,45.0,18.0,18.0,64.0,4.0,64.0,1.0,2.0
2.0,60.0,17.0,31.0,71.0,4.0,71.0,1.0,2.0
